population,county,state
55869,Autauga,Alabama
223234,Baldwin,Alabama
24686,Barbour,Alabama
22394,Bibb,Alabama
57826,Blount,Alabama
10101,Bullock,Alabama
19448,Butler,Alabama
113605,Calhoun,Alabama
33254,Chambers,Alabama
26196,Cherokee,Alabama
44428,Chilton,Alabama
12589,Choctaw,Alabama
23622,Clarke,Alabama
13235,Clay,Alabama
14910,Cleburne,Alabama
52342,Coffee,Alabama
55241,Colbert,Alabama
12067,Conecuh,Alabama
10663,Coosa,Alabama
37049,Covington,Alabama
13772,Crenshaw,Alabama
83768,Cullman,Alabama
49172,Dale,Alabama
37196,Dallas,Alabama
71513,DeKalb,Alabama
81209,Elmore,Alabama
36633,Escambia,Alabama
102268,Etowah,Alabama
16302,Fayette,Alabama
31362,Franklin,Alabama
26271,Geneva,Alabama
8111,Greene,Alabama
14651,Hale,Alabama
17205,Henry,Alabama
105882,Houston,Alabama
51626,Jackson,Alabama
658573,Jefferson,Alabama
13805,Lamar,Alabama
92729,Lauderdale,Alabama
32924,Lawrence,Alabama
164542,Lee,Alabama
98915,Limestone,Alabama
9726,Lowndes,Alabama
18068,Macon,Alabama
372909,Madison,Alabama
18863,Marengo,Alabama
29709,Marion,Alabama
96774,Marshall,Alabama
413210,Mobile,Alabama
20733,Monroe,Alabama
226486,Montgomery,Alabama
119679,Morgan,Alabama
8923,Perry,Alabama
19930,Pickens,Alabama
33114,Pike,Alabama
22722,Randolph,Alabama
57961,Russell,Alabama
89512,St. Clair,Alabama
217702,Shelby,Alabama
12427,Sumter,Alabama
79978,Talladega,Alabama
40367,Tallapoosa,Alabama
209355,Tuscaloosa,Alabama
63521,Walker,Alabama
16326,Washington,Alabama
10373,Wilcox,Alabama
23629,Winston,Alabama
3337,"Aleutians East Borough, Alaska",
5634,"Aleutians West Census Area, Alaska",
288000,"Anchorage Municipality, Alaska",
18386,"Bethel Census Area, Alaska",
836,"Bristol Bay Borough, Alaska",
2097,"Denali Borough, Alaska",
4916,"Dillingham Census Area, Alaska",
96849,"Fairbanks North Star Borough, Alaska",
2530,"Haines Borough, Alaska",
2148,"Hoonah-Angoon Census Area, Alaska",
31974,"Juneau City and Borough, Alaska",
58708,"Kenai Peninsula Borough, Alaska",
13901,"Ketchikan Gateway Borough, Alaska",
12998,"Kodiak Island Borough, Alaska",
8314,"Kusilvak Census Area, Alaska",
1592,"Lake and Peninsula Borough, Alaska",
108317,"Matanuska-Susitna Borough, Alaska",
10004,"Nome Census Area, Alaska",
9832,"North Slope Borough, Alaska",
7621,"Northwest Arctic Borough, Alaska",
3266,"Petersburg Borough, Alaska",
6203,"Prince of Wales-Hyder Census Area, Alaska",
8493,"Sitka City and Borough, Alaska",
1183,"Skagway Municipality, Alaska",
6893,"Southeast Fairbanks Census Area, Alaska",
9202,"Valdez-Cordova Census Area, Alaska",
2502,"Wrangell City and Borough, Alaska",
579,"Yakutat City and Borough, Alaska",
5230,"Yukon-Koyukuk Census Area, Alaska",
71887,Apache,Arizona
125922,Cochise,Arizona
143476,Coconino,Arizona
54018,Gila,Arizona
38837,Graham,Arizona
9498,Greenlee,Arizona
21108,La Paz,Arizona
4485414,Maricopa,Arizona
212181,Mohave,Arizona
110924,Navajo,Arizona
1047279,Pima,Arizona
462789,Pinal,Arizona
46498,Santa Cruz,Arizona
235099,Yavapai,Arizona
213787,Yuma,Arizona
17486,Arkansas,Arkansas
19657,Ashley,Arkansas
41932,Baxter,Arkansas
279141,Benton,Arkansas
37432,Boone,Arkansas
10763,Bradley,Arkansas
5189,Calhoun,Arkansas
28380,Carroll,Arkansas
10118,Chicot,Arkansas
22320,Clark,Arkansas
14551,Clay,Arkansas
24919,Cleburne,Arkansas
7956,Cleveland,Arkansas
23457,Columbia,Arkansas
20846,Conway,Arkansas
110332,Craighead,Arkansas
63257,Crawford,Arkansas
47955,Crittenden,Arkansas
16419,Cross,Arkansas
7009,Dallas,Arkansas
11361,Desha,Arkansas
18219,Drew,Arkansas
126007,Faulkner,Arkansas
17715,Franklin,Arkansas
12477,Fulton,Arkansas
99386,Garland,Arkansas
18265,Grant,Arkansas
45325,Greene,Arkansas
21532,Hempstead,Arkansas
33771,Hot Spring,Arkansas
13202,Howard,Arkansas
37825,Independence,Arkansas
13629,Izard,Arkansas
16719,Jackson,Arkansas
66824,Jefferson,Arkansas
26578,Johnson,Arkansas
6624,Lafayette,Arkansas
16406,Lawrence,Arkansas
8857,Lee,Arkansas
13024,Lincoln,Arkansas
12259,Little River,Arkansas
21466,Logan,Arkansas
73309,Lonoke,Arkansas
16576,Madison,Arkansas
16694,Marion,Arkansas
43257,Miller,Arkansas
40651,Mississippi,Arkansas
6701,Monroe,Arkansas
8986,Montgomery,Arkansas
8252,Nevada,Arkansas
7753,Newton,Arkansas
23382,Ouachita,Arkansas
10455,Perry,Arkansas
17782,Phillips,Arkansas
10718,Pike,Arkansas
23528,Poinsett,Arkansas
19964,Polk,Arkansas
64072,Pope,Arkansas
8062,Prairie,Arkansas
391911,Pulaski,Arkansas
17958,Randolph,Arkansas
24994,St. Francis,Arkansas
122437,Saline,Arkansas
10281,Scott,Arkansas
7881,Searcy,Arkansas
127827,Sebastian,Arkansas
17007,Sevier,Arkansas
17442,Sharp,Arkansas
12506,Stone,Arkansas
38682,Union,Arkansas
16545,Van Buren,Arkansas
239187,Washington,Arkansas
78753,White,Arkansas
6320,Woodruff,Arkansas
21341,Yell,Arkansas
1671329,Alameda,California
1129,Alpine,California
39752,Amador,California
219186,Butte,California
45905,Calaveras,California
21547,Colusa,California
1153526,Contra Costa,California
27812,Del Norte,California
192843,El Dorado,California
999101,Fresno,California
28393,Glenn,California
135558,Humboldt,California
181215,Imperial,California
18039,Inyo,California
900202,Kern,California
